Utterance	POV Converted Text
remind CN to choose a partner for starting the new business	hi CN SCN is asking you to choose a partner for starting the new business
remind CN to grow starfish flower cactus in the bottle	hi CN, SCN is requesting you to grow starfish flower cactus in the bottle
remind CN to supply study materials to all the students before friday	hi CN, SCN wants you to supply study materials to all the students before friday
tell CN to improve his skills to clear the interview	hey CN, SCN asks you to improve your skills to clear the interview
tell CN to maintain the blood pressure level	hi CN, SCN requests you to maintain the blood pressure level
tell CN to perform well in the exam	hi CN SCN is asking you to perform well in the exam
tell CN to identify the location of the accident	hi CN, SCN is requesting you to identify the location of the accident
tell CN to avoid alcohol completely	hi CN, SCN wants you to avoid alcohol completely
remind CN to discuss the issue at the meeting	hey CN, SCN asks you to discuss the issue at the meeting
remind CN to recommend a restaurant to mercy	hi CN, SCN requests you to recommend a restaurant to mercy
remind CN to pick up the guests from airport at 7pm	hi CN SCN is asking you to pick up the guests from airport at 7pm
remind CN to complain about the bad service	hi CN, SCN is requesting you to complain about the bad service
tell CN all the best for the new journey	hi CN, SCN says all the best for the new journey
tell CN tanya got a scholarship to yale university	hey CN, SCN is saying tanya got a scholarship to yale university
tell CN that the students helped to generate new ideas	hi CN, SCN says that the students helped to generate new ideas
tell CN I don't agree with him	hey CN, SCN is saying they don't agree with you
tell CN I followed the recipe exactly	hi CN, SCN says they followed the recipe exactly
tell CN exercise helps to avoid getting sick	hey CN, SCN is saying exercise helps to avoid getting sick
tell CN the band performed well last night	hi CN, SCN says the band performed well last night
remind CN about his son's first birthday	hi CN, SCN reminds about your son's first birthday
remind CN about bringing the check	hi CN, SCN reminds about bringing the check
remind CN about adding salty snacks to the grocery list	hi CN, SCN reminds about adding salty snacks to the grocery list
ask CN about his outdoor skills	hi CN, SCN asks about your outdoor skills
ask CN about the paperwork	hey CN, SCN is asking about the paperwork
ask CN about the announcement 	hi CN, SCN asks about the announcement 
ask CN about his final exams	hi CN, SCN asks about your final exams
ask CN about his investment in mutual funds	hey CN, SCN is asking about your investment in mutual funds
ask CN about the scar on his face	hi CN, SCN asks about the scar on your face
ask CN about the application status	hey CN, SCN is asking about the application status
ask CN about the conversation between SCN and jenny	hi CN, SCN asks about the conversation between SCN and jenny
ask CN about quitting the job	hi CN, SCN asks about quitting the job
ask CN about that advanced software	hey CN, SCN is asking about that advanced software
ask CN a successful career or a happy family life	hi CN, SCN asks a successful career or a happy family life
ask CN whether he want to be police detective or an FBI agent	hey CN, SCN is asking whether you want to be police detective or an FBI agent
ask CN whether I want to buy a soy sauce or chilli sauce	hi CN, SCN asks whether they want to buy a soy sauce or chilli sauce
ask CN whether his weight is 57 or 59	hi CN, SCN asks whether your weight is 57 or 59
ask CN whether the shoe color is black or brown	hey CN, SCN is asking whether the shoe color is black or brown
ask CN whether jack is single or in a relationship	hi CN, SCN asks whether jack is single or in a relationship
ask CN whether he ordered a chair or a table	hey CN, SCN is asking whether you ordered a chair or a table
ask CN whether he has 2 or 3 sons	hi CN, SCN asks whether you have 2 or 3 sons
ask CN whether sam is acting as a hero or a villain	hi CN, SCN asks whether sam is acting as a hero or a villain
ask CN whether kate is a russian or an american	hey CN, SCN is asking whether kate is a russian or an american
Ask CN, can you paste the sticky notes	hey CN, SCN is requesting you to paste the sticky notes
Ask CN, can you upload the movie	hey CN, SCN is requesting you to upload the movie
Ask CN, can you check for today news updates	hey CN, SCN is requesting you to check for today news updates
Ask CN, can you download the movie	hey CN, SCN is requesting you to download the movie
Ask CN, can you cancel the movie show 	hey CN, SCN is requesting you to cancel the movie show 
Ask CN, can you close all the windows	hey CN, SCN is requesting you to close all the windows
Ask CN, can you fix the Fire extinguisher 	hey CN, SCN is requesting you to fix the Fire extinguisher 
Ask CN, can you translate word into pdf	hey CN, SCN is requesting you to translate word into pdf
Ask CN, can you convert the ppt to pdf	hey CN, SCN is requesting you to convert the ppt to pdf
Ask CN, can you color the drawing note	hey CN, SCN is requesting you to color the drawing note
Ask CN, can you calculate the loan percentage interest	hey CN, SCN is requesting you to calculate the loan percentage interest
Ask CN, can you inaugurate the culturals function	hey CN, SCN is requesting you to inaugurate the culturals function
Ask CN, can you connect the wifi network in laptop	hey CN, SCN is requesting you to connect the wifi network in laptop
Ask CN, can you flash the pendrive	hey CN, SCN is requesting you to flash the pendrive
Ask CN, can you clean the store room	hey CN, SCN is requesting you to clean the store room
Ask CN, can you contact the tourist agency	hey CN, SCN is requesting you to contact the tourist agency
Ask CN, can you backup your phone	hey CN, SCN is requesting you to backup your phone
Ask CN, can you download the latest movie songs	hey CN, SCN is requesting you to download the latest movie songs
Ask CN, can you watch pirates of the carribean	hey CN, SCN is requesting you to watch pirates of the carribean
Ask CN, can you calculate the weight	hey CN, SCN is requesting you to calculate the weight
Ask CN, can you check the weather status	hey CN, SCN is requesting you to check the weather status
Ask CN, can you diagnose the urine samples	hey CN, SCN is requesting you to diagnose the urine samples
Ask CN, can you complete the shortfilm by tomorrow	hey CN, SCN is requesting you to complete the shortfilm by tomorrow
Ask CN, can you conduct a non alcohol party	hey CN, SCN is requesting you to conduct a non alcohol party
Ask CN, can you buy a keyboard	hey CN, SCN is requesting you to buy a keyboard
Ask CN, can you purchase a handbag	hey CN, SCN is requesting you to purchase a handbag
Ask CN, can you gift a jewellery	hey CN, SCN is requesting you to gift a jewellery
Ask CN, can you pack the food products 	hey CN, SCN is requesting you to pack the food products 
Ask CN, can you fill the water in the bottle	hey CN, SCN is requesting you to fill the water in the bottle
Ask CN, can you connect the wifi in office premises	hey CN, SCN is requesting you to connect the wifi in office premises
Ask CN, can you prepare tea 	hey CN, SCN is requesting you to prepare tea 
Ask CN, can you attend the award function	hey CN, SCN is requesting you to attend the award function
Ask CN, can you print the insurance copy	hey CN, SCN is requesting you to print the insurance copy
Ask CN, can you record old songs in cassette	hey CN, SCN is requesting you to record old songs in cassette
Ask CN, can you clean the washing machine drum	hey CN, SCN is requesting you to clean the washing machine drum
Ask CN, can you check the status of the cicitizenship application 	hey CN, SCN is requesting you to check the status of the cicitizenship application 
Ask CN, can you attach the email copy	hey CN, SCN is requesting you to attach the email copy
Ask CN, can you organize the living room	hey CN, SCN is requesting you to organize the living room
Ask CN, can you comb your hair	hey CN, SCN is requesting you to comb your hair
Ask CN, can you print the important income tax proof documents.	hey CN, SCN is requesting you to print the important income tax proof documents.
Ask CN, can you join the swimming class tommorow	hey CN, SCN is requesting you to join the swimming class tommorow
Ask CN, If he wants Netflix or hulu?	hey CN, SCN asks if you want Netflix or hulu?
Ask CN, If he wants Running or weight lifting?	hey CN, SCN asks if you want Running or weight lifting?
